bri,mired,watt
1,153,3.08
1,163,3.11
1,173,3.08
1,183,3.08
1,193,3.08
1,203,3.07
1,213,3.1
1,223,3.08
1,233,3.05
1,243,3.09
1,253,3.07
1,263,3.09
1,273,3.08
1,283,3.08
1,293,3.09
1,303,3.07
1,313,3.11
1,323,3.06
1,333,3.11
1,343,3.08
1,353,3.06
1,363,3.08
1,370,3.09
6,153,3.1
6,163,3.07
6,173,3.09
6,183,3.07
6,193,3.1
6,203,3.09
6,213,3.09
6,223,3.08
6,233,3.07
6,243,3.08
6,253,3.08
6,263,3.06
6,273,3.08
6,283,3.06
6,293,3.06
6,303,3.11
6,313,3.09
6,323,3.05
6,333,3.06
6,343,3.08
6,353,3.06
6,363,3.08
6,370,3.07
11,153,3.35
11,163,3.33
11,173,3.34
11,183,3.38
11,193,3.32
11,203,3.38
11,213,3.36
11,223,3.35
11,233,3.35
11,243,3.34
11,253,3.35
11,263,3.35
11,273,3.38
11,283,3.39
11,293,3.35
11,303,3.35
11,313,3.36
11,323,3.34
11,333,3.38
11,343,3.37
11,353,3.35
11,363,3.37
11,370,3.37
16,153,3.73
16,163,3.71
16,173,3.75
16,183,3.73
16,193,3.73
16,203,3.73
16,213,3.75
16,223,3.74
16,233,3.76
16,243,3.76
16,253,3.76
16,263,3.73
16,273,3.76
16,283,3.75
16,293,3.76
16,303,3.75
16,313,3.77
16,323,3.78
16,333,3.78
16,343,3.72
16,353,3.75
16,363,3.73
16,370,3.75
21,153,4.09
21,163,4.13
21,173,4.08
21,183,4.12
21,193,4.11
21,203,4.11
21,213,4.12
21,223,4.08
21,233,4.12
21,243,4.1
21,253,4.12
21,263,4.13
21,273,4.14
21,283,4.09
21,293,4.12
21,303,4.09
21,313,4.09
21,323,4.11
21,333,4.11
21,343,4.1
21,353,4.14
21,363,4.11
21,370,4.13
26,153,4.5
26,163,4.5
26,173,4.48
26,183,4.5
26,193,4.51
26,203,4.5
26,213,4.52
26,223,4.52
26,233,4.5
26,243,4.5
26,253,4.51
26,263,4.48
26,273,4.5
26,283,4.48
26,293,4.5
26,303,4.51
26,313,4.51
26,323,4.46
26,333,4.53
26,343,4.5
26,353,4.53
26,363,4.53
26,370,4.48
31,153,4.89
31,163,4.92
31,173,4.92
31,183,4.88
31,193,4.9
31,203,4.91
31,213,4.94
31,223,4.91
31,233,4.87
31,243,4.9
31,253,4.88
31,263,4.93
31,273,4.89
31,283,4.89
31,293,4.9
31,303,4.92
31,313,4.94
31,323,4.89
31,333,4.91
31,343,4.91
31,353,4.92
31,363,4.92
31,370,4.91
36,153,5.31
36,163,5.28
36,173,5.27
36,183,5.3
36,193,5.28
36,203,5.31
36,213,5.31
36,223,5.28
36,233,5.31
36,243,5.3
36,253,5.34
36,263,5.31
36,273,5.32
36,283,5.31
36,293,5.33
36,303,5.29
36,313,5.32
36,323,5.32
36,333,5.3
36,343,5.3
36,353,5.3
36,363,5.31
36,370,5.31
41,153,5.68
41,163,5.66
41,173,5.64
41,183,5.67
41,193,5.71
41,203,5.7
41,213,5.69
41,223,5.7
41,233,5.69
41,243,5.71
41,253,5.69
41,263,5.68
41,273,5.7
41,283,5.66
41,293,5.72
41,303,5.7
41,313,5.68
41,323,5.7
41,333,5.73
41,343,5.72
41,353,5.69
41,363,5.72
41,370,5.72
46,153,6.08
46,163,6.07
46,173,6.09
46,183,6.05
46,193,6.09
46,203,6.06
46,213,6.11
46,223,6.08
46,233,6.05
46,243,6.11
46,253,6.08
46,263,6.07
46,273,6.09
46,283,6.07
46,293,6.08
46,303,6.11
46,313,6.07
46,323,6.12
46,333,6.06
